Rk;G;Date;@;OppT;W/L;Tm;Opp;ORtg;DRtg;Pace;FTr;3PAr;TS%;TRB%;AST%;STL%;BLK%;a;eFG%;TOV%;ORB%;FT/FGA;b;OeFG%;OTOV%;DRB%;OFT/FGA;T
4;4;01/11/2023;@;TOR;L;111;130;116.1;136.0;95.6;.500;.447;.599;36.7;54.3;9.4;3.8;;.546;11.5;16.7;.368;;.643;14.1;59.5;.143;MIL
5;5;03/11/2023;;NYK;W;110;105;112.3;107.2;97.9;.341;.476;.583;42.3;68.6;6.1;17.5;;.549;12.9;14.9;.244;;.448;8.5;68.0;.198;MIL
6;6;06/11/2023;@;BRK;W;129;125;127.0;123.1;101.6;.250;.500;.605;51.1;56.5;5.9;3.6;;.563;8.6;25.5;.219;;.564;7.0;76.6;.109;MIL
7;7;08/11/2023;;DET;W;120;118;111.8;110.0;107.3;.356;.411;.576;40.4;46.3;7.5;10.1;;.517;8.8;10.6;.300;;.526;13.9;73.8;.153;MIL
8;8;09/11/2023;@;IND;L;124;126;120.4;122.3;103.0;.299;.310;.630;50.6;50.0;5.8;11.4;;.580;12.5;13.9;.264;;.587;9.8;80.0;.196;MIL
9;9;11/11/2023;@;ORL;L;97;112;100.0;115.5;97.0;.325;.377;.551;45.6;65.8;9.3;10.3;;.552;17.8;15.2;.156;;.488;11.6;67.4;.357;MIL
10;10;13/11/2023;;CHI;W;118;109;122.3;112.9;96.5;.303;.528;.585;53.0;54.8;3.1;8.6;;.556;12.9;31.0;.213;;.450;5.2;69.0;.190;MIL
11;11;15/11/2023;@;TOR;W;128;112;134.3;117.5;95.3;.247;.459;.679;42.7;56.8;8.4;14.3;;.635;12.1;23.7;.235;;.443;11.3;55.2;.281;MIL
12;12;17/11/2023;@;CHO;W;130;99;126.9;96.6;102.4;.146;.506;.686;53.3;65.3;3.9;10.8;;.674;12.1;10.5;.112;;.440;10.6;83.3;.209;MIL
13;13;18/11/2023;;DAL;W;132;125;126.7;120.0;104.2;.213;.479;.642;45.6;59.2;7.7;5.4;;.612;5.5;11.6;.181;;.573;10.1;76.6;.068;MIL
14;14;20/11/2023;@;WAS;W;142;129;140.5;127.6;101.1;.298;.309;.668;67.9;60.0;3.0;8.6;;.644;10.9;43.2;.223;;.606;3.7;88.6;.091;MIL
15;15;22/11/2023;@;BOS;L;116;119;114.2;117.2;101.6;.168;.337;.535;52.2;51.1;8.9;4.8;;.510;7.7;25.0;.129;;.625;14.1;89.5;.167;MIL
16;16;24/11/2023;;WAS;W;131;128;126.5;123.6;103.5;.359;.337;.615;52.1;58.3;5.8;9.5;;.571;7.8;22.7;.283;;.555;6.8;76.9;.170;MIL
1;1;25/10/2023;;WAS;W;143;120;129.3;108.5;110.6;.112;.402;.637;53.1;67.9;9.0;11.1;;.617;9.7;22.7;.103;;.505;11.4;78.8;.240;IND
2;2;28/10/2023;@;CLE;W;125;113;129.3;116.8;96.7;.173;.388;.593;48.5;75.0;3.1;5.9;;.566;6.2;25.0;.143;;.495;5.2;67.3;.152;IND
3;3;30/10/2023;;CHI;L;105;112;103.5;110.4;101.4;.284;.523;.530;51.6;72.2;6.9;7.1;;.477;14.7;24.4;.239;;.494;11.4;78.3;.299;IND
4;4;01/11/2023;@;BOS;L;104;155;99.5;148.3;104.5;.119;.366;.489;35.2;56.5;5.7;10.0;;.480;7.8;14.8;.069;;.674;9.3;67.6;.284;IND
5;5;03/11/2023;;CLE;W;121;116;117.1;112.3;103.3;.279;.360;.627;53.3;62.2;6.8;8.9;;.610;15.7;18.9;.186;;.571;12.0;86.8;.238;IND
6;6;04/11/2023;;CHO;L;124;125;127.0;128.0;97.6;.172;.484;.620;46.8;68.9;7.2;7.4;;.602;12.3;27.5;.129;;.580;11.7;67.6;.261;IND
7;7;06/11/2023;;SAS;W;152;111;144.6;105.6;105.1;.242;.400;.723;57.6;69.1;6.7;5.9;;.684;11.8;27.3;.232;;.468;9.3;76.9;.245;IND
8;8;08/11/2023;;UTA;W;134;118;127.8;112.5;104.8;.198;.406;.610;49.5;50.0;13.4;10.1;;.579;9.1;31.1;.168;;.526;16.8;66.7;.177;IND
9;9;09/11/2023;;MIL;W;126;124;122.3;120.4;103.0;.217;.522;.625;49.4;61.4;5.8;10.0;;.587;9.8;20.0;.196;;.580;12.5;86.1;.264;IND
10;10;12/11/2023;@;PHI;L;126;137;129.3;140.6;97.5;.211;.433;.641;37.2;66.0;8.2;12.5;;.611;9.2;20.5;.178;;.571;8.8;51.1;.162;IND
